,title_id,title,year,genre,duration,director,actors,description,avg_vote,budget,gross_income_usa,gross_income_global,votes,user_reviews,critics_reviews,profit
45918,tt0450385,1408,2007,Fantasy,104,Mikael Håfström,"John Cusack, Tony Shalhoub, Len Cariou, Isiah Whitlock Jr., Jasmine Jessica Anthony, Paul Birchard, Margot Leicester, Walter Lewis, Eric Meyers, David Nicholson, Holly Hayes, Alexandra Silber, Johann Urb, Andrew Lee Potts, Emily Harvey","A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",6.8,25000000,71985628,132033383.0,245370,622.0,306.0,107033383.0
50576,tt0974661,17 Again,2009,Comedy,102,Burr Steers,"Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry, Tyler Steelman, Allison Miller, Sterling Knight, Michelle Trachtenberg, Adam Gregory, Hunter Parrish, Mario Cassem, Kat Graham, Tiya Sircar, Melissa Ordway, Melora Hardin",Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,6.3,20000000,64167069,136267476.0,170237,209.0,193.0,116267476.0
54122,tt1272878,2 Guns,2013,Action,109,Baltasar Kormákur,"Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos, Bill Paxton, Robert John Burke, James Marsden, Greg Sproles, Fred Ward, Patrick Fischler, Derek Solorsano, Edgar Arreola, Kyle Clements, Christopher Matthew Cook, Tim Bell","Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.",6.7,61000000,75612460,131940411.0,185092,199.0,274.0,70940411.0
53096,tt1190080,2012,2009,Action,158,Roland Emmerich,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily, Zlatko Buric, Beatrice Rosen, Alexandre Haussmann, Philippe Haussmann, Johann Urb",A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,5.8,200000000,166112167,788550900.0,334427,1135.0,226.0,588550900.0
71857,tt4385888,20th Century Women,2016,Comedy,119,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup, Lucas Jade Zumann, Alison Elliott, Thea Gill, Vitaly Andrew LeBeau, Olivia Hone, Waleed Zuaiter, Curran Walters, Darrell Britt-Gibson, Alia Shawkat, Nathalie Love, Cameron Protzman","The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.",7.3,7000000,5664764,7214806.0,34032,98.0,217.0,214806.0
47192,tt0478087,21,2008,Crime,123,Robert Luketic,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin, Donna Lows, Butch Williams, Ben Campbell","""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",6.8,35000000,81159365,157927340.0,216963,302.0,151.0,122927340.0
58876,tt1711425,21 & Over,2013,Comedy,93,"Jon Lucas, Scott Moore","Miles Teller, Skylar Astin, Justin Chon, Sarah Wright, Jonathan Keltz, François Chau, Russell Hodgkinson, Daniel Booko, Russell Mercado, Josie Loren, Christiann Castellanos, Dustin Ybarra, Samantha Futerman, Julian Gavilanes, Josh Truax","The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends.",5.8,13000000,25682380,48065672.0,69602,94.0,172.0,35065672.0
40527,tt0315733,21 Grams,2003,Crime,124,Alejandro G. Iñárritu,"Sean Penn, Naomi Watts, Danny Huston, Carly Nahon, Claire Pakis, Benicio Del Toro, Nick Nichols, Charlotte Gainsbourg, John Rubinstein, Eddie Marsan, Loyd Keith Salter, Antef A. Harris, Melissa Leo, Marc Musso, Teresa Delgado","A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",7.7,20000000,16290476,60427839.0,215435,569.0,200.0,40427839.0
53612,tt1232829,21 Jump Street,2012,Action,109,"Phil Lord, Christopher Miller","Jonah Hill, Channing Tatum, Brie Larson, Dave Franco, Rob Riggle, DeRay Davis, Ice Cube, Dax Flame, Chris Parnell, Ellie Kemper, Jake Johnson, Nick Offerman, Holly Robinson Peete, Johnny Pemberton, Stanley Wong",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,7.2,42000000,138447667,201585328.0,486385,388.0,385.0,159585328.0
63688,tt2294449,22 Jump Street,2014,Action,112,"Phil Lord, Christopher Miller","Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell, Amber Stevens West, Jillian Bell, Ice Cube, Keith Lucas, Kenneth Lucas, Nick Offerman, Jimmy Tatro, Caroline Aaron, Craig Roberts, Marc Evan Jackson, Joe Chrest","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",7.0,50000000,191719337,331333876.0,326626,352.0,343.0,281333876.0
63769,tt2304459,23 Blast,2014,Drama,98,Dylan Baker,"Stephen Lang, Alexa PenaVega, Mark Hapka, Max Adler, Kim Zimmer, Bram Hoover, Timothy Busfield, Fred Dalton Thompson, Becky Ann Baker, Dylan Baker, Kevin Cooney, Scott Sowers, Isiah Whitlock Jr., Crystal Hunt, Breanna Dean","When a high school football star is suddenly stricken with irreversible total blindness, he must decide whether to live a safe handicapped life or bravely return to the life he once knew and the sport he still loves.",6.5,1000000,549185,549185.0,1617,4.0,15.0,-450815.0
40191,tt0307901,25th Hour,2002,Drama,135,Spike Lee,"Edward Norton, Philip Seymour Hoffman, Barry Pepper, Rosario Dawson, Anna Paquin, Brian Cox, Tony Siragusa, Levani, Tony Devon, Misha Kuznetsov, Isiah Whitlock Jr., Michael Genet, Patrice O'Neal, Al Palagonia, Aaron Stanford","Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",7.6,5000000,13084595,23932055.0,164139,464.0,215.0,18932055.0
50719,tt0988595,27 Dresses,2008,Comedy,111,Anne Fletcher,"Brian Kerwin, Charli Barcena, Peyton List, Jane Pfitsch, Katherine Heigl, Jennifer Lim, Brigitte Bourdeau, Judy Greer, Danielle Skraastad, Marilyn L. Costello, James Marsden, Michael Paul, Yetta Gottesman, Erin Fogel, Bern Cohen","After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.",6.1,30000000,76808654,160259319.0,147107,166.0,178.0,130259319.0
34560,tt0191754,28 Days,2000,Comedy,103,Betty Thomas,"Sandra Bullock, Viggo Mortensen, Dominic West, Elizabeth Perkins, Azura Skye, Steve Buscemi, Alan Tudyk, Mike O'Malley, Marianne Jean-Baptiste, Reni Santoni, Diane Ladd, Margo Martindale, Susan Krebs, Loudon Wainwright III, Katie Scharf",A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.,6.0,43000000,37170488,62198945.0,41621,203.0,118.0,19198945.0
54646,tt1314190,3 Backyards,2010,Drama,88,Eric Mendelsohn,"Elias Koteas, Kathryn Erbe, Edie Falco, Rachel Resheff, Ron Phillips, Wesley Broulik, Ann Arvia, Dana Eskelson, Randi Kaplan, Embeth Davidtz, Kathy Searle, Joe Cipoletti, Louise Millmann, John Monteleone, Nicole Brending",The story of three people from the same suburban town during the course of one curious autumn day.,5.0,300000,43073,43073.0,621,22.0,19.0,-256927.0
60061,tt1825784,3 Geezers!,2013,Comedy,81,Michelle Schumacher,"J.K. Simmons, Tim Allen, Scott Caan, Basil Hoffman, Kevin Pollak, Randy Couture, Sam Raimi, Lou Beatty Jr., Breckin Meyer, Mike O'Malley, Beverly Polcyn, Tony Cummings, Pamela Dunlap, Fernanda Romero, Robin Bain","Follow actor J Kimball as he researches what it's like to be old for a role in an upcoming movie. When he meets the residents at The Coconuts convalescent home, he quickly discovers that ...",3.3,1000000,4175,4175.0,662,9.0,3.0,-995825.0
71248,tt4158624,3 Generations,2015,Drama,92,Gaby Dellal,"Elle Fanning, Linda Emond, Susan Sarandon, Naomi Watts, Andrew Polk, Marcos A. Gonzalez, Antonio Ortiz, Tessa Albertson, Marquis Rodriguez, Gameela Wright, Jordan Carlos, Elle Winter, Lucca De Oliveira, Francesca Keller, Jinn S. Kim","After Ray decides to transition from female to male, Ray's mother, Maggie, must come to terms with the decision while tracking down Ray's biological father to get his legal consent.",5.9,5000000,155936,531046.0,5240,24.0,55.0,-4468954.0
34870,tt0199290,3 Strikes,2000,Comedy,82,DJ Pooh,"Brian Hooks, N'Bushe Wright, Faizon Love, E-40, Starletta DuPois, George Wallace, David Alan Grier, Dean Norris, Barima McKnight, Meagan Good, Mo'Nique, De'aundre Bonds, Antonio Fargas, Harmonica Fats, Mike Epps","Brian Hooks plays a character who is just released from jail. And the state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change ...",4.7,3400000,9832166,9832166.0,2836,10.0,13.0,6432166.0
80050,tt8134742,3 from Hell,2019,Horror,115,Rob Zombie,"Sheri Moon Zombie, Bill Moseley, Sid Haig, Jeff Daniel Phillips, Richard Brake, Kevin Jackson, Tracey Leigh, Sylvia Jefferies, Emilio Rivera, Richard Edson, Pancho Moler, Dee Wallace, Stacie Greenwell, Anny Rosario, Matthew Willig",Sequel to The Devil's Rejects.,5.7,3000000,2172949,2279214.0,6026,232.0,87.0,-720786.0
57878,tt1622547,30 Minutes or Less,2011,Action,83,Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Michael Peña, Bianca Kajlich, Fred Ward, Sam Johnston, Jack Foley, Elizabeth Shapiro, Brett Gelman, Paul Tierney, Staci Lynn Fletcher, Gary Brichetto","Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else...",6.1,28000000,37053924,40547440.0,89074,137.0,224.0,12547440.0
36327,tt0233142,3000 Miles to Graceland,2001,Action,125,Demian Lichtenstein,"Kurt Russell, Kevin Costner, Courteney Cox, Christian Slater, Kevin Pollak, David Arquette, Jon Lovitz, Howie Long, Thomas Haden Church, Bokeem Woodbine, Ice-T, David Kaye, Louis Lombardi, Shawn Michael Howard, Michael Kopsa",A gang of ex-cons rob a casino during Elvis convention week.,6.0,62000000,15749959,18720175.0,42225,404.0,108.0,-43279825.0
53907,tt1253863,300: Rise of an Empire,2014,Action,102,Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Callan Mulvey, David Wenham, Rodrigo Santoro, Jack O'Connell, Andrew Tiernan, Igal Naor, Andrew Pleavin, Peter Mensah, Ben Turner, Ashraf Barhom, Christopher Sciueref","Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",6.2,110000000,106580051,337580051.0,267953,563.0,376.0,227580051.0
43124,tt0381849,3:10 to Yuma,2007,Action,122,James Mangold,"Russell Crowe, Christian Bale, Logan Lerman, Dallas Roberts, Ben Foster, Peter Fonda, Vinessa Shaw, Alan Tudyk, Luce Rains, Gretchen Mol, Lennie Loftin, Rio Alexander, Johnny Whitworth, Shawn Howell, Pat Ricotti",A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,7.7,55000000,53606916,70016220.0,274187,615.0,294.0,15016220.0
36767,tt0243736,40 Days and 40 Nights,2002,Comedy,96,Michael Lehmann,"Josh Hartnett, Shannyn Sossamon, Paulo Costanzo, Adam Trese, Emmanuelle Vaugier, Lorin Heath, Aaron Trainor, Glenn Fitzgerald, Monet Mazur, Christine Chatelain, Keegan Connor Tracy, Michael C. Maronna, Vinessa Shaw, Stefanie von Pfetten, Stanley Anderson","After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it.",5.6,17000000,37950822,95146283.0,68100,215.0,137.0,78146283.0
46091,tt0453562,42,2013,Biography,128,Brian Helgeland,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni, Ryan Merriman, Lucas Black, André Holland, Alan Tudyk, Hamish Linklater, T.R. Knight, John C. McGinley, Toby Huss, Max Gail, Brad Beyer, James Pickens Jr.","In 1947,",7.5,40000000,95020213,97470701.0,79204,234.0,220.0,57470701.0
66694,tt2933544,5 Flights Up,2014,Comedy,88,Richard Loncraine,"Diane Keaton, Morgan Freeman, Cynthia Nixon, Carrie Preston, Claire van der Boom, Korey Jackson, Michael Cristofer, Diane Ciesla, Josh Pais, Maddie Corman, Miriam Shor, Gary Wilmes, Liza J. Bennett, Ted Sod, Sterling Jerins",A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,6.2,6000000,1020921,3679847.0,8276,57.0,75.0,-2320153.0
41572,tt0343660,50 First Dates,2004,Comedy,99,Peter Segal,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph, Pomaika'i Brown, Joe Nakashima, Peter Dante, Dom Magwili, Jonathan Loughran","Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the next day.",6.8,75000000,120908074,196482882.0,309398,485.0,149.0,121482882.0
59604,tt1777595,50 to 1,2014,Drama,110,Jim Wilson,"Skeet Ulrich, Christian Kane, William Devane, Madelyn Deutch, Todd Lowe, David Atkinson, Calvin Borel, Bruce Wayne Eckelman, Hugo Perez, Eloy Casados, Tish Rayburn-Miller, Jessi Badami, Judith Jones, Benjamin Glenday, Bernardo Saracino","A bunch of New Mexico cowboys head for the Kentucky Derby 2009 with their horse. It only gets 50 to 1 odds in this classy, int'l race.",6.4,10000000,1064454,1064454.0,1792,63.0,9.0,-8935546.0
54556,tt1306980,50/50,2011,Comedy,100,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Donna Yamamoto, Sugar Lyn Beard, Yee Jee Tso, Sarah Smyth, Peter Kelamis, Jessica Parker Kennedy","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",7.6,8000000,35014192,39187783.0,304478,418.0,334.0,31187783.0
46919,tt0472033,9,2009,Animation,79,Shane Acker,"Christopher Plummer, Martin Landau, John C. Reilly, Crispin Glover, Jennifer Connelly, Fred Tatasciore, Elijah Wood, Alan Oppenheimer, Tom Kane, Helen Wilson",A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,7.1,30000000,31749894,48428063.0,127563,267.0,271.0,18428063.0
71752,tt4337690,90 Minutes in Heaven,2015,Drama,121,Michael Polish,"Hayden Christensen, Kate Bosworth, Hudson Meek, Bobby Batson, Elizabeth Hunter, Nicholas Pryor, Michael Harding, Cynthia Barrett, Bruce Taylor, Matt Bauman, Trevor Allen Martin, Sallye McDougald Hooks, Mark Oliver, Matthew Cornwell, Jody Thompson","A man involved in a horrific car crash is pronounced dead, only to come back to life an hour and a half later, claiming to have seen Heaven.",4.7,5000000,4842699,4842699.0,3177,41.0,16.0,-157301.0
66542,tt2891174,99 Homes,2014,Drama,112,Ramin Bahrani,"Michael Shannon, Douglas M. Griffin, Randy Austin, Carl Palmer, Andrew Garfield, James Brown, Luke Sexton, Noah Lomax, Alex Aristidis, Tim Guinee, Jonathan Tabler, Garrett Kruithof, Richard Holden, Deneen Tyler, Albert C. Bates",A recently unemployed single father struggles to get back his foreclosed home by working for the real estate broker who is the source of his frustration.,7.1,8000000,1411927,1828232.0,27471,107.0,210.0,-6171768.0
38127,tt0268978,A Beautiful Mind,2001,Biography,135,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer, Paul Bettany, Adam Goldberg, Josh Lucas, Anthony Rapp, Jason Gray-Stanford, Judd Hirsch, Austin Pendleton, Vivien Cardone, Jillie Simon, Victor Steinbach, Tanya Clarke",After,8.2,58000000,170742341,316791257.0,789875,1243.0,207.0,258791257.0
57108,tt1554091,A Better Life,2011,Drama,98,Chris Weitz,"Demián Bichir, Eddie 'Piolin' Sotelo, Joaquín Cosio, José Julián, Nancy Lenehan, Gabriel Chavarria, Bobby Soto, Chelsea Rendon, Trampas Thompson, Tim Griffin, Valorie Hubbard, Dolores Heredia, Isabella Rae Thomas, Carlos Linares, Robert Peters",A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while trying to give his son the opportunities he never had.,7.2,10000000,1759252,1863506.0,14738,88.0,92.0,-8136494.0
64758,tt2406306,A Bit of Bad Luck,2014,Comedy,86,John Fuhrman,"Cary Elwes, Lance Rosen, Teri Polo, John Carlson, Agnes Bruckner, Tony Doupe, Marshall Bell, David S. Hogan, Peter Kelley, Stefan Hayek, K. Brian Neel, Lorraine Montez, Laura Kenny, Tim Tully, J. Woodward Palmer",A wealthy heiress to a lumber company finds a diabolical way to get back at her sleazy husband for his constant affairs.,4.7,1000000,18089,18089.0,238,10.0,2.0,-981911.0
55523,tt1401621,A Boy Called Po,2016,Drama,95,John Asher,"Christopher Gorham, Julian Feder, Kaitlin Doubleday, Andrew Bowen, Sean Gunn, Caitlin Carmichael, Bryan Batt, Fay Masterson, Brian George, Tristian Chase, Jayden Anderson, Kassi Crews, Tammy Dahlstrom, Mason Hafer, Starla Hall","After his wife dies of cancer, an overworked engineer struggles to care for his son with autism. His son in response to bullying regresses into a fantasy world escape.",6.9,1693000,4550,4550.0,720,11.0,13.0,-1688450.0
51663,tt1067106,A Christmas Carol,2009,Animation,96,Robert Zemeckis,"Jim Carrey, Steve Valentine, Daryl Sabara, Sage Ryan, Amber Gainey Meade, Ryan Ochoa, Bobbi Page, Ron Bottitta, Sammi Hanratty, Julian Holloway, Gary Oldman, Colin Firth, Cary Elwes, Robin Wright, Bob Hoskins","An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",6.8,200000000,137855863,325286646.0,93566,270.0,251.0,125286646.0
42299,tt0365125,A Dirty Shame,2004,Comedy,89,John Waters,"Tracey Ullman, Johnny Knoxville, Selma Blair, Chris Isaak, Suzanne Shepherd, Mink Stole, Patricia Hearst, Jackie Hoffman, Nick Noble, Lucy Newman-Williams, Scott Morgan, Wes Johnson, David A. Dunham, David Moretti, Jeffrey Auerbach","An uptight, middle-aged, repressed woman turns into a sex addict after getting hit on the head, and she then falls into an underground subculture of sex addicts in suburban Baltimore.",5.1,15000000,1339668,1808166.0,11781,104.0,85.0,-13191834.0
49225,tt0835034,A Four Letter Word,2007,Comedy,87,Casper Andreas,"Jesse Archer, Paul Haje, Charlie David, Cory W. Grant, Steven M. Goldsmith, J.R. Rolley, Virginia Bryan, Jeremy Gender, Allison Lane, Aaron Star, Jonathan Baird, Max Rhyser, John Kaisner, William Hernandez, Margret Echeverria","Hook up artist Luke surprises himself when he considers becoming monogamous after meeting and dating smug and handsome Stephen, but Stephen might not be all that he seems, will Luke be disappointed?",5.4,125000,72568,73445.0,822,8.0,18.0,-51555.0
77067,tt6265828,A Ghost Story,2017,Drama,92,David Lowery,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson, Grover Coulson, Liz Cardenas, Barlow Jacobs, Richard Krause, Dagger Salazar, Sonia Acevedo, Carlos Bermudez, Yasmina Gutierrez, Kimberly Fiddes, Daniel Escudero, Kesha","In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",6.8,100000,1596371,1951683.0,49515,478.0,308.0,1851683.0
39617,tt0295289,A Guy Thing,2003,Comedy,101,Chris Koch,"Jason Lee, Julia Stiles, Selma Blair, James Brolin, Shawn Hatosy, Lochlyn Munro, Diana Scarwid, David Koechner, Julie Hagerty, Thomas Lennon, Jackie Burroughs, Jay Brazeau, Matthew Walker, Fred Ewanuick, Lisa Calder",A soon-to-be husband wakes up on the morning after his bachelor party in bed with another woman.,5.6,20000000,15545431,17432163.0,16044,93.0,78.0,-2567837.0
63321,tt2243537,A Haunted House,2013,Comedy,86,Michael Tiddes,"Marlon Wayans, Marlene Forte, Essence Atkins, David Koechner, Dave Sheridan, Nick Swardson, Alanna Ubach, Andrew Daly, J.B. Smoove, Robin Thede, Jordenn Thompson, Affion Crockett, Cedric the Entertainer","Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help.",5.0,2500000,40041683,60141683.0,41190,118.0,131.0,57641683.0
66351,tt2828996,A Haunted House 2,2014,Comedy,86,Michael Tiddes,"Marlon Wayans, Jaime Pressly, Essence Atkins, Gabriel Iglesias, Missi Pyle, Ashley Rickards, Affion Crockett, Steele Stebbins, Rick Overton, Hayes MacArthur, Dave Sheridan, Cedric the Entertainer, Kurt Carley, Tom Virtue, Kym Whitley","Having exorcised the demons of his ex, Malcolm is starting fresh with his new girlfriend and her two children. After moving into their dream home, however, Malcolm is once again plagued by bizarre paranormal events.",4.7,4000000,17329486,23959486.0,18576,54.0,70.0,19959486.0
42068,tt0359423,A Home at the End of the World,2004,Drama,97,Michael Mayer,"Andrew Chalmers, Ryan Donowho, Asia Vieira, Quancetia Hamilton, Jeff J.J. Authors, Lisa Merchant, Ron Lea, Erik Smith, Harris Allan, Matt Frewer, Sissy Spacek, Colin Farrell, Dallas Roberts, Robin Wright, Shawn Roberts",A boy who has experienced many losses in his life grows to manhood and enters into a love triangle with a woman and his boyhood friend.,6.7,6500000,1029872,1644653.0,12898,133.0,48.0,-4855347.0
34150,tt0183790,A Knight's Tale,2001,Action,132,Brian Helgeland,"Heath Ledger, Rufus Sewell, Shannyn Sossamon, Paul Bettany, Laura Fraser, Mark Addy, Alan Tudyk, Bérénice Bejo, Scott Handy, James Purefoy, Leagh Conwell, Christopher Cazenove, Steven O'Donnell, Jonathan Slinger, Nick Brimble","After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",6.9,65000000,56569702,117487473.0,160625,677.0,168.0,52487473.0
